handle,display_name,followers,bio,website,niche,claude_niche,claude_signals,claude_confidence,claude_reason
travismarziani,Travis Marziani,20376,"🏆10 years and $12M+ in Amazon sales
🎓Taught 14,000+ beginners
#1 Amazon FBA YouTube Channel
⬇️ My 12-hour course for free",https://start.travismarziani.com/?utm_campaign=instagram&utm_source=bio,amazon fba,Amazon FBA,"$12M+ in Amazon sales (practitioner social proof), Taught 14,000+ beginners (client count social proof), #1 Amazon FBA YouTube Channel (authority signal), Free 12-hour course CTA in bio, Link-in-bio routes to dedicated landing page",high,"Travis is a practitioner-turned-educator in the approved Amazon FBA niche with strong social proof, a clear free course CTA, and a dedicated landing page link."
robuilt,Rob Abasolo,87386,"Airbnb expert 🛌 
Youtuber 🎥 
Founder of @host.camp 
Partner at @funkitinteriors 
Former @biggerpockets Co-host 🎙 
Learn how I launch Airbnbs👇🏽",https://hc.hostcamp.com/vsl-book-a-call,amazon fba,Short-Term Rental / Airbnb Coaching,"Founder of @host.camp (coaching/education platform), Link-in-bio routes to VSL + book-a-call landing page (hc.hostcamp.com/vsl-book-a-call), Practitioner-turned-educator: Airbnb expert with YouTube presence and prior BiggerPockets co-host credibility, Bio CTA: 'Learn how I launch Airbnbs' with link directing to conversion page, High follower count (87K) indicating established educator presence",medium,"Rob is a practitioner-turned-educator selling Airbnb/short-term rental coaching via Host Camp with a VSL and book-a-call funnel, closely adjacent to the approved Real Estate investing niches, though bio lacks explicit social proof metrics and 'I help' framework."
realestateskills,Real Estate Skills,12937,"🧑‍🎓Join The 1000+ We’ve Helped Make It BIG In Real Estate
👇FREE TRAINING: How To Consistently Make $10K-$100K/Mo",https://realestateskills.com/training?el=soigb,real estate wholesaling,Real Estate Wholesaling,"Client count social proof: '1000+ we've helped', Income result metric: '$10K-$100K/Mo', Free training CTA in bio, Link-in-bio routes to a training/landing page, Educator positioning helping others achieve real estate results",high,"Profile clearly promotes a real estate education/coaching program with strong social proof, a free training CTA, and a landing page link, fitting squarely within an approved niche."
thejordansantiago,Jordan Santiago | Real Estate 👑,13629,"🏚 Real Estate Investor & Coach | NYC
📈 200+ Deals Done Remotely
🏆 Helping People Make 20k/mo From Home Through RE
🤝DM “REMOTE” To Work 1 on 1",https://linktr.ee/TheJordanSantiago,real estate wholesaling,Real Estate Wholesaling / Rental Investing,"Practitioner with 200+ deals done remotely, Explicit coaching offer: 'Real Estate Investor & Coach', Income result metric: $20k/mo, CTA: DM 'REMOTE' to work 1 on 1, 1-on-1 coaching program implied, Link-in-bio routes to Linktree landing page",high,"Jordan Santiago is a practitioner-turned-educator with clear social proof (200+ deals), a specific income result claim ($20k/mo), an explicit 1-on-1 coaching offer, and a DM-based CTA — matching the ICP across all key criteria."
garrettrealestate,Garrett Long,87548,"🏡 Wholesale Mentor👨‍🎓DM me “start”🏡
📲 Lead Gen ➡️ @qualitycoldcallers 📞
👨‍🎓Students closed 10M+ Assignments👨‍🎓",http://qualitycoldcallers.com,real estate wholesaling,Real Estate Wholesaling,"Identifies as 'Wholesale Mentor', DM CTA: 'DM me start', Social proof: 'Students closed 10M+ Assignments', Mentorship offer implied through mentor title and CTA, Link-in-bio routes to associated business site",medium,"Profile matches the Real Estate Wholesaling approved niche with clear mentorship signals, a DM CTA, and student result social proof, though the link-in-bio points to a cold calling service rather than a direct coaching landing page, slightly reducing confidence."
davidalandodge,David Dodge,77951,"🏡 1,000+ Houses Flipped
📍 100+ Rental Properties
🚀 Real Estate Coach & Mentor
👇🏽 Community & Resources",http://skool.com/realestate,real estate wholesaling,Real Estate Wholesaling / Rental Investing,"1,000+ Houses Flipped as social proof metric, 100+ Rental Properties as credibility signal, Explicitly identifies as Real Estate Coach & Mentor, Link-in-bio routes to Skool community, Practitioner-turned-educator pattern evident, Community & Resources CTA in bio",high,"David Dodge is a practitioner-turned-educator with strong social proof metrics, an explicit coaching/mentor identity, and a Skool community link, fitting squarely within approved real estate investing niches."
thetonymont,Tony Montalbano,16245,"Uncle Tony 🧔🏻
Faced Life in Prison to $100m in Sales 💸 
Wholesale Real Estate 😤
☎️ FREE Strategy Call ⬇️",https://go.thetonymont.com/join,real estate wholesaling,Real Estate Wholesaling,"Practitioner-turned-educator: 'Faced Life in Prison to $100m in Sales', Specific result metric as social proof: '$100m in Sales', Niche identified: Wholesale Real Estate, CTA present: 'FREE Strategy Call', Link-in-bio routes to a funnel/landing page",high,"Tony is a wholesale real estate educator with strong social proof ($100m in sales), a clear CTA (free strategy call), and a link-in-bio funnel, matching the ICP and an approved niche."
jamelgibbs,Jamel Gibbs,25630,"Free LIVE Training this Wednesday , March 25th",https://go.dealproacademy.com/webinar,real estate wholesaling,Business Acquisition,"Link routes to a webinar/training funnel via 'dealproacademy.com', Free LIVE Training CTA in bio, Academy branding suggests educational/coaching offer, 'Deal Pro' naming implies business deal-focused education",medium,"The link-in-bio points to a webinar funnel under 'dealproacademy.com', strongly suggesting a coaching or education offer in a deal/business acquisition niche, though the bio lacks explicit social proof or an 'I help' statement, lowering confidence slightly."
brickbybrickwealth,Casey Franchini,27169,"💰 $160k/yr with Boring Rentals
💫 Here to help you with your 1st rental 🏡
👇 How it works",https://brickbybrickwealth.com/swrp,real estate wholesaling,Rental Investing,"Dollar figure social proof ($160k/yr), Practitioner-turned-educator (achieved rental income result, now teaches others), Helps audience with first rental (implied 'I help' framework), Link-in-bio routes to a landing page (brickbybrickwealth.com/swrp), CTA implied via 'How it works' with link",medium,"Profile shows a rental investing educator with income proof and a landing page link, fitting the Rental Investing approved niche, though the bio lacks an explicit CTA like 'DM me' or 'Apply' and the coaching offer is not directly stated."
coachchadcarson,Chad Carson,24233,"I teach real estate investors to get out of the financial grind and achieve financial freedom. 
🎙️Podcast 📖Books 👥 Coaching",http://coachcarson.com/links,real estate wholesaling,Rental Investing,"mentions coaching explicitly in bio, teaches real estate investors, has podcast and books indicating educator role, link-in-bio routes to personal hub with coaching offerings, practitioner-turned-educator positioning",medium,"Chad Carson is a practitioner-turned-educator in real estate investing who explicitly offers coaching, though the bio lacks a specific dollar figure, client count, or direct CTA such as 'DM me' or 'Apply', slightly reducing confidence."
